poach /pəʊtʃ/ (v) | Săn trộm
seize /siːz/ (verb) | Nắm, tóm, đoạt lấy
equate /ɪˈkweɪt/ (verb) | Làm cân bằng, san bằng, ngang bằng với
blame /bleɪm/ (v) | Đổ lỗi, quy trách nhiệm
perception /pərˈsepʃn/ (noun) | Tri giác, năng lực tri giác
inhibitor /ɪnˈhɪbɪtər/ (noun) | Chất ức chế, gien ức chế
expectancy /ɪkˈspektənsi/ (noun) | Sự mong chờ, tình trạng mong chờ
absorb /əbˈzɔːb/ (v) | Tiếp thu
sedentary /ˈsednteri/ (adjective) | (Liên quan tới công việc, hoạt động) Ngồi, ít di chuyển, ít vận động
arid /ˈærɪd/ (adj) | Khô cằn
weed /wiːd/ (n) | Cỏ dại
vermin /ˈvɜːrmɪn/ (n) | Sâu hại, sâu bệnh
vegetation /ˌvedʒəˈteɪʃn/ (n) | Thực vật
soil /sɔɪl/ (n) | Đất
species /ˈspiːʃiːz/ (n) | Giống loài
scent /sent/ (n) | Mùi thơm, mùi hương
repercussion /ˌriːpərˈkʌʃn/ (n) | Hậu quả về sau
prey /preɪ/ (n) | Con mồi, nạn nhân
predator /ˈpredətər/ (n) | Động vật ăn thịt
pesticide /ˈpestɪsaɪdz/ (n) | Thuốc diệt côn trùng, thuốc trừ sâu
insect /ˈɪnsekt/ (n) | Côn trùng
habitat /ˈhæbɪtæt/ (n) | Môi trường sống
genetics /dʒəˈnetɪks/ (n) | Di truyền học
flora /ˈflɔːrə/ (n) | Hệ thực vật (của một nơi)
fauna /ˈfɔːnə/ (n) | Hệ động vật (của một nơi)
den /den/ (n) | Hang thú dữ
decline /dɪˈklaɪn/ (n) | Sự giảm xuống
burrow /ˈbʌrəʊ/ (n) | Cái hang
subsequently /ˈsʌbsɪkwəntli/ (adv) | Sau đó
formerly /ˈfɔːrmərli/ (adv) | Trước kia, trong quá khứ
the right time /ðə raɪt taɪm/ (phrase) | Đúng thời điểm
take so long /teɪk səʊ lɑːŋ/ (phrase) | Mất rất lâu
on time /ɑːn taɪm/ (phrase) | Đúng giờ
lose track of time /luːz træk əv taɪm/ (phrase) | Không nhận thức được về thời gian
predate /ˌpriːˈdeɪt/ (v) | Xảy ra trước
infer /ɪnˈfɜːr/ (v) | Suy ra, luận ra
erode /ɪˈrəʊd/ (v) | Xói mòn
punctual /ˈpʌŋktʃuəl/ (adj) | Đúng giờ
nostalgic /nɑːˈstældʒɪk/ (adj) | Nhớ nhà, hoài niệm
consecutive /kənˈsekjətɪv/ (adj) | Liên tục
chronological /ˌkrɑːnəˈlɑːdʒɪkl/ (adj) | Theo trình tự thời gian
pioneer /ˌpaɪəˈnɪr/ (n) | Người tiên phong, đi đầu
millennia /mi'leniə/ (n) | Nhiều thiên niên kỉ
the Middle Ages /ðə ˌmɪdl ˈeɪdʒɪz/ (phrase) | Thời Trung cổ
generation /ˌdʒenəˈreɪʃn/ (n) | Sự sản xuất, sự tạo ra
excavation /ˌekskəˈveɪʃn/ (n) | Sự khai quật
archaeologist /ˌɑːkiˈɑːlədʒɪst/ (n) | Nhà khảo cổ học
unspoilt /ˌʌnˈspɔɪlt/ (adj) | Nguyên sơ, chưa bị làm hỏng
tough /tʌf/ (adj) | Bền, dai
stunning /´stʌniη/ (adj) | Rất đẹp, hấp dẫn
scenic /'si:nik/ (adj) | Thuộc cảnh vật, có cảnh đẹp
rural /ˈrʊrəl/ (adj) | Ở nông thôn
rough /rᴧf/ (adj) | Gồ ghề, thô ráp
quaint /kweint/ (adj) | Lạ (vì cổ kính)
picturesque /ˌpɪktʃəˈresk/ (adj) | Đẹp (như tranh)
cosmopolitan /ˌkɑːzməˈpɑːlɪtən/ (adj) | Toàn thế giới, quốc tế
coastal /ˈkəʊstl/ (adj) | Ven biển
breathtaking /ˈbreθteɪkɪŋ/ (adj) | Ngoạn mục, ấn tượng
adventurous /ədˈventʃərəs/ (adj) | Thích phiêu lưu
trip /trɪp/ (v) | Trượt chân, vấp chân
itinerary /aɪˈtɪnəreri/ (n) | Hành trình có kế hoạch
inhabitant /ɪnˈhæbɪtənt/ (n) | Cư dân, người cư trú
countryside /ˈkʌntrisaɪd/ (n) | Vùng nông thôn
attraction /əˈtrækʃn/ (n) | Sức hút, sự thu hút
accommodation /əˌkɒməˈdeɪʃn/ (n) | Sự thỏa thuận, dàn xếp
that is to say /ðæt ɪz tə seɪ/ (phrase) | Điều đó có nghĩa là
you can say that again /ju kən seɪ ðæt əˈɡen/ (phrase) | Hoàn toàn đồng ý
to say the least /tə seɪ ðə liːst/ (phrase) | Thậm chí đã nói giảm nói tránh
having said that /həvɪŋ sed ðæt/ (phrase) | Mặc dù vậy
when all is said and done /wen ɔːl ɪz sed ənd dʌn/ (phrase) | Sau tất cả mọi thứ
have a say /həv ə seɪ/ (phrase) | Có tiếng nói (trong việc ra quyết định)
needless to say /ˈniːdləs tə seɪ/ (phrase) | Không cần phải nói, miễn bàn
there is something to be said for /ðer ɪz ˈsʌmθɪŋ tə bi sed fər/ (phrase) | Có thể nói rằng điều gì đó có lợi ích hoặc ưu điểm.
stutter /ˈstʌtər/ (v) | Nói lắp bắp
state /steɪt/ (v) | Tuyên bố, phát biểu
signify /ˈsɪɡnɪfaɪ/ (v) | Biểu thị, báo hiệu
imply /ɪmˈplaɪ/ (v) | Gợi ý, làm một thứ cho có vẻ có khả năng đúng hoặc tồn tại
stair /ster/ (noun) | Bậc thang
evolve /ɪˈvɑːlv/ (v) | Tiến triển, phát triển
converse /kənˈvɜːrs/ (v) | Trò chuyện
comprehend /ˌkɑːmprɪˈhend/ (v) | Hiểu (hoàn toàn, đầy đủ)
spontaneous /spɑːnˈteɪniəs/ (adj) | Tự phát, bộc phát
incoherent /ˌɪnkəʊˈhɪərənt/ (adj) | Rời rạc, không mạch lạc
means of communication /miːnz əv kəˌmjuːnɪˈkeɪʃn/ (phrase) | Phương tiện truyền thông
linguist /ˈlɪŋɡwɪst/ (n) | Nhà ngôn ngữ học
dialect /ˈdaɪəlekt/ (n) | Tiếng địa phương, phương ngữ
conjecture /kənˈdʒektʃər/ (n) | Sự phỏng đoán
fear /fɪr/ (noun) | Nỗi sợ, nỗi lo
relatively /ˈrelətɪvli/ (adv) | Một cách tương đối
struggle /ˈstrʌɡl/ (v) | Gặp khó khăn, gặp trở ngại
overcome /ˌəʊvəˈkʌm/ (v) | Vượt qua, khắc phục
studious /ˈstjuːdiəs/ (adj) | Ham học
postgraduate /ˌpəʊstˈɡrædʒuət/ (n) | Sau đại học
eligible /ˈelɪdʒəbl/ (adj) | Đủ điều kiện, đủ tư cách (để tham gia hoặc được hưởng một quyền lợi nào đó)
tutor /ˈtjuːtər/ (n) | Gia sư, giáo viên phụ đạo
thesis /ˈθiːsɪs/ (n) | Luận văn
syllabus /ˈsɪləbəs/ (n) | Giáo án, chương trình học
nursery /ˈnɜːrsəri/ (n) | Nhà trẻ
suffer /ˈsʌfər/ (v) | Trải qua (một trải nghiệm khó chịu), chịu, bị
ambition /æmˈbɪʃn/ (n) | Hoài bão, khát vọng
learning disorder /ˈlɜːrnɪŋ dɪsˈɔːdər/ (phrase) | Rối loạn học tập
kindergarten /ˈkɪndərɡɑːrtn/ (n) | Trường mẫu giáo
grant /ɡrɑːnt/ (n) | Tiền trợ cấp, tiền được cấp
dissertation /ˌdɪsərˈteɪʃn/ (n) | Luận văn
curriculum /kəˈrɪkjələm/ (n) | Chương trình học
controversy /ˈkɑːntrəvɜːrsi/ (n) | Sự, cuộc tranh cãi
way of life /weɪ əv laɪf/ (phrase) | Cách sống
once-in-a-lifetime opportunity /wʌns ɪn ə ˈlaɪftaɪm ˌɑːpərˈtjuːnəti/ (phrase) | Cơ hội hiếm có trong đời
living expenses /ˈlɪvɪŋ ɪkˈspensiz/ (phrase) | Các khoản phí sinh hoạt
lifelong ambition /ˈlaɪflɑːŋ æmˈbɪʃn/ (phrase) | Ước mơ cả đời
cost of living /kɑːst əv ˈlɪvɪŋ/ (phrase) | Chi phí sinh hoạt
all walks of life /ɔːl wɔːks əv laɪf/ (phrase) | Mọi tầng lớp, vị trí, nghề nghiệp
work hard for a living /wɜːrk hɑːrd fər ə ˈlɪvɪŋ/ (phrase) | Làm việc chăm chỉ để kiếm sống
put pressure on /pʊt ˈpreʃər ɑːn/ (phrase) | Tạo áp lực lên
miss an opportunity /mɪs ən ˌɑːpəˈtjuːnəti/ (phrase) | Bỏ lỡ cơ hội
meet a need /miːt ə niːd/ (phrase) | Đáp ứng nhu cầu
make a living /meɪk ə ˈlɪvɪŋ/ (phrase) | Kiếm sống
live life to the full /lɪv laɪf tə ðə fʊl/ (phrase) | Sống hết mình
live life on the edge /lɪv laɪf ɑːn ði edʒ/ (phrase) | Sống cuộc sống liều lĩnh, mạo hiểm.
lead a happy life /liːd ə ˈhæpi laɪf/ (phrase) | Sống một cuộc sống hạnh phúc.
satisfy /ˈsætɪsfaɪ/ (v) | Làm thỏa mãn, làm hài lòng
regret /rɪˈɡret/ (v) | Tiếc nuối, hối tiếc
recreational /ˌrekriˈeɪʃənl/ (adj) | Mang tính giải trí
intense /ɪnˈtens/ (adj) | Dữ dội, gay gắt
dissatisfied /dɪsˈsætɪsfaɪd/ (adj) | Bất mãn, không hài lòng
self-expression /ˌself ɪkˈspreʃn/ (n) | Sự thể hiện bản thân, biểu đạt bản thân
risk taker /rɪsk ˈteɪkər/ (phrase) | Người ưa mạo hiểm
realist /ˈriːəlɪst/ (n) | Người thực tế
pessimist /ˈpesɪmɪst/ (n) | Người bi quan
outlook /ˈaʊtlʊk/ (n) | Quan điểm, cách nhìn nhận
optimist /ˈɑːptɪmɪst/ (n) | Người lạc quan
fulfilment /fʊlˈfɪlmənt/ (n) | Sự hoàn thành, sự làm trọn vẹn
stimulate /ˈstɪmjuleɪt/ (v) | Kích thích
overeat /ˌəʊvərˈiːt/ (v) | Ăn quá nhiều
diminish /dɪˈmɪnɪʃ/ (v) | Giảm bớt, thu nhỏ
cure /kjʊr/ (v) | Chữa trị
curb /kɜːrb/ (v) | Hạn chế
counteract /ˌkaʊntərˈækt/ (v) | Kháng lại, làm mất tác dụng
obese /əʊˈbiːs/ (adj) | Béo phì
moderate /ˈmɑːdərət/ (adj) | Điều độ
chronic /ˈkrɑːnɪk/ (adj) | Kinh niên, mãn tính
brisk /brɪsk/ (adj) | Nhanh, nhanh chóng, vội (bước đi)
alternate /ˈɔːltərnət/ (adj) | Xen kẽ, luân phiên
acute /əˈkjuːt/ (adj) | Nghiêm trọng, cấp tính
stroke /strəʊk/ (n) | Đột quỵ
inevitably /ɪnˈevɪtəbli/ (adv) | Không tránh được
scalability /ˌskeɪləˈbɪləti/ (noun) | Khả năng mở rộng
incentive /ɪnˈsentɪv/ (n) | Sự khuyến khích, thúc đẩy
wrecked /rekt/ (adjective) | Bị phá hủy, bị tàn phá, bị phá hỏng
unambiguously /ˌʌnæmˈbɪɡjuəsli/ (adverb) | (một cách) Rõ ràng (về nghĩa), không mơ hồ
trait /treɪt/ (noun) | Nét tiêu biểu, đặc điểm
quirk /kwɜːrk/ (noun) | Thói quen, tật
pertain /pərˈteɪn/ (verb) | Gắn liền với, đi đôi với
nefarious /nɪˈferiəs/ (adjective) | Bất chính, đê tiện, độc ác
sophisticated /səˈfɪstɪkeɪtɪd/ (adj) | Tinh vi, phức tạp
morale /məˈræl/ (noun) | Tinh thần, chí khí, nhuệ khí
disclaimer /dɪsˈkleɪmər/ (noun) | Thông báo không chịu trách nhiệm về gì
arise /əˈraɪz/ (verb) | Nổi lên, xuất hiện, phát sinh
strive /straɪv/ (verb) | Nỗ lực, cực kỳ cố gắng cho cái gì
stale /steɪl/ (adjective) | Cũ rích, nhạt nhẽo
caveat /ˈkæviæt/ (noun) | Lời cảnh báo trước
overarching /ˌəʊvərˈɑːrtʃɪŋ/ (adjective) | Rất quan trọng
serving /ˈsɜːrvɪŋ/ (n) | Suất ăn, phần ăn
onset /ˈɑːnset/ (n) | Sự khởi phát (bệnh)
obesity /əʊˈbiːsəti/ (n) | Bệnh béo phì
junk food /dʒʌŋk fuːd/ (n) | Đồ ăn vặt
insomnia /ɪnˈsɑːmniə/ (n) | Chứng mất ngủ
ingredient /ɪnˈɡriːdiənt/ (n) | Thành phần, yếu tố cấu thành
disorder /dɪsˈɔːrdər/ (n) | Sự rối loạn
disease /dɪˈziːz/ (n) | Căn bệnh
stealthy /ˈstelθi/ (adjective) | Lén lút, vụng trộm
depression /dɪˈpreʃn/ (n) | Bệnh trầm cảm
artery /ˈɑːrtəri/ (n) | Động mạch
anxiety /æŋˈzaɪəti/ (n) | Sự lo lắng, lo âu
allergy /ˈælərdʒi/ (n) | Sự dị ứng
put your mind at ease /pʊt jɔːr maɪnd ət iːz/ (phrase) | Dừng lo lắng về việc gì
my mind went blank /maɪ maɪnd went blæŋk/ (phrase) | Đầu óc trống rỗng
it slipped my mind /ɪt slɪpt maɪ maɪnd/ (phrase) | Quên mất điều gì, trượt khỏi tâm trí
bear in mind /beər ɪn maɪnd/ (phrase) | Ghi nhớ điều gì
throw a tantrum /θrəʊ ə ˈtæntrəm/ (phrase) | Nổi cơn thịnh nộ, nổi cơn tam bành
reminisce /ˌremɪˈnɪs/ (v) | Hồi tưởng
intimate /ˈɪntɪmət/ (adj) | Thân mật, riêng tư
gesture /ˈdʒestʃər/ (v) | Ra hiệu
rebellious /rɪˈbeljəs/ (adj) | Nổi loạn
patient /ˈpeɪʃnt/ (adj) | Kiên nhẫn
irresponsible /ˌɪrɪˈspɑːnsəbl/ (adj) | Vô trách nhiệm, không có trách nhiệm
immature /ˌɪməˈtʃʊr/ (adj) | Chưa chín chắn, non nớt
fond /fɑːnd/ (adj) | Thích, trìu mến
clumsy /ˈklʌmzi/ (adj) | Vụng về
cognitive /ˈkɑːɡnətɪv/ (adj) | Liên quan đến nhận thức
peers /pɪərz/ (n) | Bạn đồng trang lứa
milestone /ˈmaɪlstəʊn/ (n) | Dấu mốc, cột mốc
infant /ˈɪnfənt/ (n) | Trẻ sơ sinh
infancy /ˈɪnfənsi/ (n) | Thời kì sơ sinh
gesture /ˈdʒestʃər/ (n) | Cử chỉ, động tác
nurture /ˈnɜːrtʃər/ (v) | Nuôi dưỡng
have something in common /həv ˈsʌmθɪŋ ɪn ˈkɑːmən/ (phrase) | Có điểm chung
endure /ɪnˈdʊr/ (v) | Chịu đựng
break down /breɪk daʊn/ (phrV) | Tan vỡ (quan hệ), hỏng (máy)
adopt /əˈdɒpt/ (v) | Nhận nuôi
accommodate /əˈkɒmədeɪt/ (v) | Dàn xếp theo, thích nghi theo, chiều theo để tiếp nhận yêu cầu của ai
parental /pəˈrentl/ (adj) | (Thuộc) cha mẹ
maternal /məˈtɜːrnl/ (adj) | (Thuộc) Mẹ, của mẹ, về phía mẹ
close-knit /ˌkləʊs ˈnɪt/ (adj) | Gắn bó
striking resemblance /ˈstraɪkɪŋ rɪˈzembləns/ (phrase) | Cực kì giống nhau
stable upbringing /ˈsteɪbl ˈʌpbrɪŋɪŋ/ (phrase) | Sự nuôi dạy vững chắc
sibling rivalry /ˈsɪblɪŋ ˈraɪvlri/ (phrase) | Sự cạnh tranh giữa anh chị em
maternal instinct /məˈtɜːrnl ˈɪnstɪŋkt/ (phrase) | Bản năng làm mẹ
immediate family /ɪˈmiːdiət ˈfæməli/ (phrase) | Gia đình trực hệ
family gathering /ˈfæməli ˈɡæðərɪŋ/ (phrase) | Sum họp gia đình
extended family /ɪkˌstendɪd ˈfæməli/ (phrase) | Gia đình mở rộng, nhiều thế hệ
upbringing /ˈʌpbrɪŋɪŋ/ (n) | Sự nuôi dạy
sibling /ˈsɪblɪŋ/ (n) | Anh chị em ruột
cleansing /klenzɪŋ/ (n) | Làm sạch
flow chart /ˈfləʊ tʃɑːrt/ (n) | Biểu đồ
domestic /dəˈmestɪk/ (adj) | Trong gia đình, nội trợ
network time server /ˈnetwɜːrk taɪm ˈsɜːrvər/ (phrase) | Máy chủ thời gian mạng
frozen /ˈfrəʊzn/ (adj) | Bị đóng băng
interior of something /ɪnˈtɪriər əv ˈsʌmθɪŋ/ (phrase) | Bên trong của cái gì đó
field /fiːld/ (n) | Trường, miền
branch coverage test /bræntʃ ˈkʌvərɪdʒ test/ (phrase) | Kiểm tra độ bao phủ mã
heap overrun /hiːp ˈəʊvərʌn/ (phrase) | Lỗi tràn heap
confirmation window /ˌkɑːnfərˈmeɪʃn ˈwɪndəʊ/ (phrase) | Cửa số xác nhận
migration testing /maɪˈɡreɪʃn ˈtestɪŋ/ (phrase) | Test chuyển đổi hệ thống
regression test /rɪˈɡreʃn test/ (phrase) | Kiểm thử hồi quy
floating point /ˈfləʊtɪŋ pɔɪnt/ (phrase) | Dấu phẩy động
semiconductor /ˌsemɪkənˈdʌktər/ (n) | Chất bán dẫn
commute /kəˈmjuːt/ (n) | Quãng đường đi làm
abroad /əˈbrɔːd/ (adv) | Ở nước ngoài
journal book /ˈdʒɜːrnl bʊk/ (phrase) | Sổ kế toán
rivalry /ˈraɪvlri/ (n) | Sự ganh đua
resemblance /rɪˈzembləns/ (n) | Sự giống nhau
facet /ˈfæsɪt/ (noun) | Khía cạnh
undergo /ˌʌndəˈɡəʊ/ (v) | Trải qua
concrete /ˈkɑːnkriːt/ (adj) | Cụ thể
justifiable /ˈdʒʌstɪfaɪəbl/ (adjective) | Có thể bào chữa được, có thể chứng minh là đúng, hợp lý
feasibility /ˌfiːzəˈbɪləti/ (noun) | Tính khả thi
interpretation /ɪnˌtɜːrprəˈteɪʃn/ (noun) | Sự giải thích, sự hiểu
drastically /ˈdræstɪkli/ (adverb) | Một cách quyết liệt, nhanh chóng
cyclic /ˈsɪklɪk/ (adjective) | Tuần hoàn, theo chu kỳ
tricky /ˈtrɪki/ (adjective) | Đòi hỏi khéo léo, đòi hỏi tinh tế (công việc..)
accident /ˈæksɪdənt/ (n) | Sự tình cờ
middleware /ˈmɪdlwer/ (n) | Phần mềm trung gian
stub /stʌb/ (n) | Nhánh, mẩu
solidify /səˈlɪdɪfaɪ/ (v) | Củng cố, làm vững chắc
plugin /ˈplʌɡ ɪn/ (n) | Ổ cắm
accessory /əkˈsesəri/ (n) | Phụ tùng, phụ kiện
delivery of goods /dɪˈlɪvəri əv ɡʊdz/ (phrase) | Giao hàng
single precision real number /ˈsɪŋɡl prɪˈsɪʒn ˈriːəl ˈnʌmbər/ (phrase) | Số thực có độ chính xác đơn
displeasure /dɪsˈpleʒər/ (v) | Sự không thỏa mãn
interpersonal relations /ˌɪntərˈpɜːrsənl rɪˈleɪʃnz/ (phrase) | Quan hệ giữa các cá nhân
overtime pay /ˈəʊvərtaɪm peɪ/ (phrase) | Tiền làm thêm giờ
obstruction /əbˈstrʌkʃn/ (n) | Sự trở ngại, cản trở
indirectly /ˌɪndəˈrektli/ (adv) | Một cách gián tiếp
method of broaching /ˈmeθəd əv brəʊtʃɪŋ/ (phrase) | Phương pháp cắt
to be able to /tu bi ˈeɪbl tu/ (phrase) | Có thể làm gì
abridged copy /əˈbrɪdʒd ˈkɑːpi/ (phrase) | Bản sao tóm tắt
bankruptcy /ˈbæŋkrʌptsi/ (noun) | Sự vỡ nợ, sự phá sản
stem /stem/ (verb) | Ngăn chặn
according to /əˈkɔːrdɪŋ tə/ (phrase) | Theo như, chiếu theo
otherwise /ˈʌðərwaɪz/ (adv) | Nếu không thì, trái lại, mặt khác
whereas /ˌwerˈæz/ (conjunction) | Nhưng trái lại, trong khi mà
meanwhile /ˈmiːnwaɪl/ (adv) | Trong lúc đó, trong lúc ấy
meet a deadline /miːt ə ˈdedlaɪn/ (phrase) | Hoàn thành đúng thời hạn
make a suggestion /meɪk ə səˈdʒestʃən/ (phrase) | Đưa ra gợi ý, đưa ra đề xuất
be ready for /biː 'redi fɔːr/ (phrase) | Sẵn sàng cho
be entitled to /bi ɪnˈtaɪtld tə/ (phrase) | Được cho quyền, có quyền
as-needed /əz niːdid/ (phrase) | Khi cần thiết
as a consequence of /əz ə ˈkɑːnsɪkwens əv/ (phrase) | Là kết quả, hậu quả của việc
allow for /əˈlaʊ fər/ (phrV) | Kể đến, tính đến, bao gồm
extensive /ɪkˈstensɪv/ (adj) | Bao quát, rộng
instrument /ˈɪnstrəmənt/ (n) | Dụng cụ, công cụ
check-up /ˈtʃek ʌp/ (n) | Kiểm tra sức khỏe tổng quát
permit /pərˈmɪt/ (v) | Cho phép
overcrowded /ˌəʊvəˈkraʊdɪd/ (adj) | Quá đông, quá tải
preliminary /prɪˈlɪmɪneri/ (noun) | Bước mở đầu, sự sắp xếp ban đầu, biện pháp sơ bộ
inference /ˈɪnfərəns/ (noun) | Sự suy luận
compatibility /kəmˌpætəˈbɪləti/ (noun) | Tính hợp nhau, tính tương hợp, khả năng tương thích
commodity /kəˈmɑːdəti/ (n) | Hàng tiêu dùng
symptom /ˈsɪmptəm/ (noun) | Triệu chứng
evident /ˈevɪdənt/ (adj) | Rõ ràng, rành rành, thấy rõ
ditch /dɪtʃ/ (verb) | Bỏ rơi
concisely /kənˈsaɪsli/ (adverb) | Một cách gãy gọn, súc tích
fence /fens/ (noun) | Hàng rào
intimidate /ɪnˈtɪmɪdeɪt/ (verb) | Đe doạ, doạ dẫm
redundant /rɪˈdʌndənt/ (adj) | Dư thừa
obsolete /ˌɑːbsəˈliːt/ (adjective) | Cổ xưa, quá hạn, đã lỗi thời
contention /kənˈtenʃn/ (noun) | Sự tranh cãi, sự tranh chấp, sự bất đồng
sustain /səˈsteɪn/ (v) | Duy trì, chống đỡ
retain /rɪˈteɪn/ (v) | Giữ lại, giữ được
insinuate /ɪnˈsɪnjueɪt/ (verb) | Nói bóng gió
intake /ˈɪnteɪk/ (n) | Sự nạp vào
delicately /ˈdelɪkətli/ (adv) | Một cách công phu, cẩn thận, tinh tế
restricted /rɪˈstrɪktɪd/ (adj) | Bị hạn chế, có giới hạn
inhibit /ɪnˈhɪbɪt/ (v) | Ngăn chặn, hạn chế, ngăn cấm
hygiene /ˈhaɪdʒiːn/ (n) | Sự vệ sinh, tính vệ sinh
emphasize on /ˈemfəsaɪz ɑːn/ (phrV) | Nhấn mạnh vào
disseminate /dɪˈsemɪneɪt/ (v) | Lan tỏa, lan truyền (thông tin, kiến thức)
narrow /ˈnærəʊ/ (v) | Thu hẹp, làm hẹp lại
incorporate /ɪnˈkɔːrpəreɪt/ (v) | Hợp nhất, hợp thành tổ chức
tailor /ˈteɪlər/ (v) | Điều chỉnh cho phù hợp
gauge /ɡeɪdʒ/ (noun) | Thước đo
bare /ber/ (adverb) | (=very) Rất, vô cùng
spectrum /ˈspektrəm/ (noun) | Một chuỗi đầy đủ, chuỗi rộng, bao quát
spectrum /ˈspektrəm/ (noun) | Quang phổ
vital /ˈvaɪtl/ (adj) | Cần thiết, thiết yếu
flavour /ˈfleɪvər/ (n) | Hương vị, gia vị
apprentice /əˈprentɪs/ (n) | Người học việc, người học nghề
remarkable /rɪˈmɑːrkəbl/ (adj) | Đáng chú ý, khác thường
household /ˈhaʊshəʊld/ (n) | Hộ gia đình
durable /ˈdʊrəbl/ (adj) | Bền, lâu dài
a wide range of /ə waɪd reɪndʒ əv/ (phrase) | Sự đa dạng nhiều loại
venue /ˈvenjuː/ (n) | Địa điểm
remainder /rɪˈmeɪndər/ (n) | Thứ còn lại, số dư
forecast /ˈfɔːrkæst/ (n) | Sự dự đoán, dự báo
press /pres/ (n) | Báo chí, bài báo
appeal /əˈpiːl/ (v) | Hấp dẫn, thu hút
a glimpse of /ə ɡlɪmps ʌv/ (phrase) | Cái nhìn sơ qua, liếc qua
nominate /ˈnɑːmɪneɪt/ (v) | Đề cử, giới thiệu
outstanding /aʊtˈstændɪŋ/ (adj) | Xuất sắc vượt trội
leisure /ˈliːʒər/ (n) | Thời gian rảnh rỗi
causal /ˈkɔːzl/ (adjective) | (thuộc) Quan hệ nguyên nhân, kết quả
justice /ˈdʒʌstɪs/ (n) | Luật pháp, tư pháp
sabotage /ˈsæbətɑːʒ/ (noun) | Sự cố ý phá hoại
extortion /ɪkˈstɔːrʃn/ (noun) | Tội tống tiền
misuse /ˌmɪsˈjuːz/ (verb) | Dùng sai, lạm dụng
lexicon /ˈleksɪkɑːn/ (noun) | Thuật ngữ, từ vựng
pandemic /pænˈdemɪk/ (noun) | Đại dịch
lawsuit /ˈlɔːsuːt/ (noun) | Việc kiện cáo, việc tố tụng
conversation /ˌkɑːnvərˈseɪʃn/ (noun) | (+with sb) Hội thoại, cuộc nói chuyện (thân mật)
lie /laɪ/ (verb) | Nằm, nằm nghỉ
heretofore /ˌhɪrtuˈfɔːr/ (adverb) | Cho đến nay, trước đây
genuine /ˈdʒenjuɪn/ (adjective) | Thật, không phải nhân tạo
whistle-blower /ˈwɪsl bləʊər/ (noun) | Người tố cáo, người tố giác
spur /spɜːr/ (verb) | Thôi thúc, khuấy động
perhaps /pərˈhæps/ (adverb) | Có lẽ
apparent /əˈpærənt/ (adjective) | Rõ ràng
distort /dɪˈstɔːrt/ (verb) | Bóp méo, xuyên tạc
impartiality /ˌɪmˌpɑːrʃiˈæləti/ (noun) | Tính công bằng, tính không thiên vị, tính vô tư
virtue /ˈvɜːrtʃuː/ (noun) | Đức hạnh (xuất sắc về mặt đạo đức), đức tính tốt, thói quen tốt
resilient /rɪˈzɪliənt/ (adj) | Kiên cường, mau phục hồi
encompass /ɪnˈkʌmpəs/ (verb) | Vây quanh, bao quanh
accordance /əˈkɔːrdns/ (noun) | Sự đồng ý, thỏa thuận
overlap /ˌəʊvərˈlæp/ (v) | Gối lên, chồng chéo
proactively /ˌprəʊˈæktɪvli/ (adverb) | Một cách chủ động
forth /fɔːrθ/ (adverb) | Về phía trước, ra phía trước, lộ ra
chunk /tʃʌŋk/ (noun) | Miếng, khúc, mảnh
property /ˈprɑːpərti/ (n) | Tài sản
surveillance /sɜːrˈveɪləns/ (noun) | Sự giám sát, sự quan sát
estate /ɪˈsteɪt/ (noun) | Bất động sản, đất đai
tangible /ˈtændʒəbl/ (adjective) | Hữu hình, rõ ràng, sờ nắm được
pivot /ˈpɪvət/ (verb) | Xoay quanh trục, lắp vào trục
prove /pruːv/ (v) | Chứng tỏ
disposal /dɪˈspəʊzl/ (n) | Sự bỏ đi
mere /mɪr/ (adjective) | Chỉ
ordinarily /ˌɔːrdnˈerəli/ (adverb) | Một cách thông thường, một cách bình thường
brief /briːf/ (noun) | Bản tóm tắt
jurisdiction /ˌdʒʊrɪsˈdɪkʃn/ (noun) | Quyền lực pháp lý, quyền tài phán, phạm vi quyền hạn
consistently /kənˈsɪstəntli/ (adverb) | Một cách kiên quyết, một cách đồng nhất
span /spæn/ (v) | Kéo dài, trải dài qua (thời gian, không gian)
ripple /ˈrɪpl/ (verb) | Lan truyền (cảm giác, thông tin) trong mọi người
incur /ɪnˈkɜːr/ (v) | Phải gánh chịu
subordinate /səˈbɔːrdɪnət/ (adjective) | Dưới quyền, thuộc cấp thấp hơn
dictate /ˈdɪkteɪt/ (verb) | Ra lệnh, sai khiến
merely /ˈmɪrli/ (adverb) | Đơn giản chỉ là
disaster /dɪˈzæstər/ (n) | Tai họa, thảm họa
aggregate /ˈæɡrɪɡət/ (adjective) | Tổng cộng
remediation /rɪˌmiːdiˈeɪʃn/ (noun) | Sự khắc phục, cải tiến
magnitude /ˈmæɡnɪtuːd/ (noun) | Cường độ
justify /ˈdʒʌstɪfaɪ/ (verb) | Bào chữa, biện hộ, chứng minh là đúng, biện minh
leverage /ˈlevərɪdʒ/ (verb) | Tận dụng
dune /djuːn/ (n) | Cồn cát, đụn cát
segregation /ˌseɡrɪˈɡeɪʃn/ (noun) | Sự phân biệt, sự tách biệt
sanction /ˈsæŋkʃn/ (verb) | Trừng phạt
